7,ocaudill0,Obdulia,Caudill
2,ocaudill0,Obdulia,Caudill
5,rwalker0,Roger,Walker
6,mhughey2,Maxwell,Hughey
3,mhughey2,Maxwell,Hughey
2,jcarson9,Janet,Carson
6,jcarson9,Janet,Carson
0,gdrain6,Gary,Drain
4,gdrain6,Gary,Drain
8,kyork3,Kyle,York
7,kyork3,Kyle,York
3,rwilliams4,Ruth,Williams
7,rwilliams4,Ruth,Williams
8,tslaugh8,Tracey,Slaugh
2,ddronet0,Dawn,Dronet
6,ddronet0,Dawn,Dronet
0,gwalker4,Glen,Walker
4,ndowdy1,Nila,Dowdy
3,mvolz4,Marcelle,Volz
1,pwhite4,Phyllis,White
8,pwhite4,Phyllis,White
3,pwhite4,Phyllis,White
9,akeagle2,Amy,Keagle
5,jsledge2,James,Sledge
5,wcady1,Walter,Cady
1,dharris0,Dominic,Harris
4,dharris0,Dominic,Harris
3,dharris0,Dominic,Harris
2,kstarkey2,Keith,Starkey
8,kstarkey2,Keith,Starkey
7,kstarkey2,Keith,Starkey
2,fnorman3,Francisca,Norman
4,cchambers0,Charles,Chambers
8,cchambers0,Charles,Chambers
4,gsanders1,Gordon,Sanders
6,gsanders1,Gordon,Sanders
5,gsanders1,Gordon,Sanders
4,gcase7,Gerald,Case
7,rcampbell9,Roy,Campbell
9,rcameron6,Roy,Cameron
5,rcameron6,Roy,Cameron
3,tmark7,Tina,Mark
2,tmark7,Tina,Mark
7,tmark7,Tina,Mark
3,tlane6,Tammy,Lane
1,nherman3,Natalie,Herman
9,hrobertson0,Hiram,Robertson
8,hrobertson0,Hiram,Robertson
7,hrobertson0,Hiram,Robertson
4,jsteward6,James,Steward
4,jroman3,Jonathan,Roman
3,jroman3,Jonathan,Roman
8,cguidry5,Charles,Guidry
1,cguidry5,Charles,Guidry
1,tmiller4,Theresa,Miller
6,jpratt5,Jayne,Pratt
1,asimmons2,Antonio,Simmons
7,rpearson1,Ryan,Pearson
4,rpearson1,Ryan,Pearson
9,gblount6,George,Blount
6,sanguiano6,Shana,Anguiano
5,sanguiano6,Shana,Anguiano
0,sanguiano6,Shana,Anguiano
6,khardwick9,Kimberly,Hardwick
9,khardwick9,Kimberly,Hardwick
9,lmartinez5,Leone,Martinez
6,lmartinez5,Leone,Martinez
8,rlynch2,Rose,Lynch
1,rlynch2,Rose,Lynch
7,mmoss2,Matt,Moss
6,mmoss2,Matt,Moss
3,mmoss2,Matt,Moss
1,esimmons9,Elizabeth,Simmons
7,esimmons9,Elizabeth,Simmons
4,colsen8,Catarina,Olsen
6,colsen8,Catarina,Olsen
0,mhicks0,Michael,Hicks
5,dhadley7,Donna,Hadley
3,ejacob4,Elbert,Jacob
8,ejacob4,Elbert,Jacob
3,rflannagan0,Rhonda,Flannagan
4,rflannagan0,Rhonda,Flannagan
0,mrandazzo6,Mamie,Randazzo
7,jabrams7,Justin,Abrams
2,keades4,Kristopher,Eades
1,keades4,Kristopher,Eades
9,keades4,Kristopher,Eades
0,kwood7,Kristina,Wood
4,kwood7,Kristina,Wood
8,sbaldwin3,Shane,Baldwin
3,sbaldwin3,Shane,Baldwin
2,sbaldwin3,Shane,Baldwin
4,toneal4,Tony,Oneal
2,toneal4,Tony,Oneal
1,toneal4,Tony,Oneal
8,ccogswell4,Carl,Cogswell
6,brapp3,Billy,Rapp
8,jnoori2,Jonathan,Noori
0,jbradley6,Justin,Bradley
6,kglasser6,Kayla,Glasser
6,jbryant0,Janice,Bryant
8,jbryant0,Janice,Bryant
2,mmorales8,Mark,Morales
0,mmorales8,Mark,Morales
7,mmorales8,Mark,Morales
9,bdoering4,Barbara,Doering
4,dfederick2,Daniel,Federick
2,dfederick2,Daniel,Federick
5,amontgomery3,Abraham,Montgomery
8,ecrump0,Edgardo,Crump
0,ecrump0,Edgardo,Crump
6,ecrump0,Edgardo,Crump
9,lfleek5,Lorraine,Fleek
8,yknudson3,Yvonne,Knudson
4,yknudson3,Yvonne,Knudson
2,yknudson3,Yvonne,Knudson
4,thubert4,Timothy,Hubert
7,thubert4,Timothy,Hubert
3,thubert4,Timothy,Hubert
7,solsen7,Stephanie,Olsen
2,aarredondo5,Anthony,Arredondo
6,aarredondo5,Anthony,Arredondo
5,aarredondo5,Anthony,Arredondo
8,msimpson8,Marshall,Simpson
7,msimpson8,Marshall,Simpson
5,msimpson8,Marshall,Simpson
5,cligon0,Charles,Ligon
8,cligon0,Charles,Ligon
3,cligon0,Charles,Ligon
6,dhelgeson5,Dale,Helgeson
3,dhelgeson5,Dale,Helgeson
7,jjones4,Juan,Jones
4,jjones4,Juan,Jones
5,jjones4,Juan,Jones
3,lhoffmann1,Leon,Hoffmann
2,amabry3,Alfreda,Mabry
6,amabry3,Alfreda,Mabry
3,amabry3,Alfreda,Mabry
6,tli5,Troy,Li
0,tli5,Troy,Li
3,tli5,Troy,Li
4,rcollins7,Robert,Collins
1,rcollins7,Robert,Collins
0,rkuhls4,Rita,Kuhls
9,rkuhls4,Rita,Kuhls
4,dsimkins0,Donald,Simkins
7,dsimkins0,Donald,Simkins
0,crhoades5,Christy,Rhoades
0,gsauceda1,Gail,Sauceda
4,gsauceda1,Gail,Sauceda
8,chalvorson5,Cassandra,Halvorson
7,chalvorson5,Cassandra,Halvorson
1,chalvorson5,Cassandra,Halvorson
1,bcamargo3,Betty,Camargo
9,tdelung7,Teresa,Delung
